sample_index,wine_type,attr_key,attr_value,quality_raw,quality_class_str,quality_class
0,red,fixed acidity,7.4,5.0,medium,1
0,red,volatile acidity,0.7,5.0,medium,1
0,red,citric acid,0.0,5.0,medium,1
0,red,residual sugar,1.9,5.0,medium,1
0,red,chlorides,0.076,5.0,medium,1
0,red,free sulfur dioxide,11.0,5.0,medium,1
0,red,total sulfur dioxide,34.0,5.0,medium,1
0,red,density,0.9978,5.0,medium,1
0,red,pH,3.51,5.0,medium,1
0,red,sulphates,0.56,5.0,medium,1
0,red,alcohol,9.4,5.0,medium,1
1,red,fixed acidity,7.8,5.0,medium,1
1,red,volatile acidity,0.88,5.0,medium,1
1,red,citric acid,0.0,5.0,medium,1
1,red,residual sugar,2.6,5.0,medium,1
1,red,chlorides,0.098,5.0,medium,1
1,red,free sulfur dioxide,25.0,5.0,medium,1
1,red,total sulfur dioxide,67.0,5.0,medium,1
1,red,density,0.9968,5.0,medium,1
1,red,pH,3.2,5.0,medium,1
1,red,sulphates,0.68,5.0,medium,1
1,red,alcohol,9.8,5.0,medium,1
2,red,fixed acidity,7.8,5.0,medium,1
2,red,volatile acidity,0.76,5.0,medium,1
2,red,citric acid,0.04,5.0,medium,1
2,red,residual sugar,2.3,5.0,medium,1
2,red,chlorides,0.092,5.0,medium,1
2,red,free sulfur dioxide,15.0,5.0,medium,1
2,red,total sulfur dioxide,54.0,5.0,medium,1
2,red,density,0.997,5.0,medium,1
2,red,pH,3.26,5.0,medium,1
2,red,sulphates,0.65,5.0,medium,1
2,red,alcohol,9.8,5.0,medium,1
3,red,fixed acidity,11.2,6.0,medium,1
3,red,volatile acidity,0.28,6.0,medium,1
3,red,citric acid,0.56,6.0,medium,1
3,red,residual sugar,1.9,6.0,medium,1
3,red,chlorides,0.075,6.0,medium,1
3,red,free sulfur dioxide,17.0,6.0,medium,1
3,red,total sulfur dioxide,60.0,6.0,medium,1
3,red,density,0.998,6.0,medium,1
3,red,pH,3.16,6.0,medium,1
3,red,sulphates,0.58,6.0,medium,1
3,red,alcohol,9.8,6.0,medium,1
4,red,fixed acidity,7.4,5.0,medium,1
4,red,volatile acidity,0.7,5.0,medium,1
4,red,citric acid,0.0,5.0,medium,1
4,red,residual sugar,1.9,5.0,medium,1
4,red,chlorides,0.076,5.0,medium,1
4,red,free sulfur dioxide,11.0,5.0,medium,1
4,red,total sulfur dioxide,34.0,5.0,medium,1
